Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,7,1.65,0.2,0.0,0.47,,5,262,38,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,7,0.18,0.14,0.0,0.18,,5,192,38,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,7,0.29,0.29,0.0,44.39,46.13,5,5,39,MLP,IID,AG_NEWS,0.07,0.9785,0.9575,0.0279,0.72,0.7939,0.7944,0.3217,,"{ON,OFF,OFF,OFF,OFF,OFF}",52.01
Client 1,8,1.7,0.2,0.0,0.47,,5,261,39,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,8,0.31,0.12,0.0,0.18,,5,191,40,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,8,0.33,0.3,0.0,44.38,46.23,5,5,39,MLP,IID,AG_NEWS,0.06,0.9811,0.9582,0.0249,0.73,0.8019,0.8019,0.3076,,"{ON,OFF,OFF,OFF,OFF,ON}",48.87
Client 1,9,1.83,0.2,0.0,0.46,,5,253,39,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,9,0.31,0.1,0.0,0.23,,5,197,40,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,9,0.32,0.29,0.0,44.37,46.24,5,5,39,MLP,IID,AG_NEWS,0.06,0.9827,0.9595,0.0238,0.81,0.7931,0.7934,0.3229,,"{ON,OFF,OFF,OFF,OFF,OFF}",46.86
Client 1,10,1.68,0.2,0.0,0.47,,5,253,41,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,10,0.29,0.11,0.0,0.2,,5,199,40,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,10,0.35,0.3,0.0,40.34,41.99,5,4,39,MLP,IID,AG_NEWS,0.05,0.9833,0.9557,0.0234,0.97,0.7746,0.7748,0.3596,,"{ON,OFF,OFF,OFF,OFF,ON}",44.61
