Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,Total Time of Training Round,Total Time of FL Round
Client 6 - A,9,169.64,170.85,340.49,44.75,taskA,,,,,,,,,,
Client 7 - A,9,178.75,161.74,340.49,40.35,taskA,,,,,,,,,,
Client 8 - A,9,134.58,205.91,340.49,58.85,taskA,,,,,,,,,,
Client 1 - B,9,229.47,339.45,568.92,56.95,taskB,,,,,,,,,,
Client 2 - B,9,302.5,266.48,568.98,42.45,taskB,,,,,,,,,,
Client 3 - B,9,291.85,277.06,568.9100000000001,45.05,taskB,,,,,,,,,,
Client 4 - B,9,328.74,240.22,568.96,34.05,taskB,,,,,,,,,,
Client 5 - B,9,317.68,251.23,568.91,51.45,taskB,,,,,,,,,,
Client 6 - B,9,237.78,331.18,568.96,47.55,taskB,,,,,,,,,,
Client 7 - B,9,267.27,301.7,568.97,50.2,taskB,,,,,,,,,,
Client 8 - B,9,305.62,263.31,568.9300000000001,43.65,taskB,0.05,0.3926,0.1245,0.1693,0.05,0.3946,0.1249,0.169,329.0,
Client 9 - A,10,157.56,200.29,357.85,50.05,taskA,,,,,,,,,,
Client 10 - A,10,163.37,194.48,357.85,39.1,taskA,,,,,,,,,,
Client 11 - A,10,178.81,179.04,357.85,33.0,taskA,,,,,,,,,,
Client 12 - A,10,149.14,208.71,357.85,48.9,taskA,,,,,,,,,,
Client 13 - A,10,128.49,229.36,357.85,54.4,taskA,,,,,,,,,,
Client 14 - A,10,142.47,215.38,357.85,42.45,taskA,,,,,,,,,,
Client 15 - A,10,169.12,188.72,357.84000000000003,39.75,taskA,,,,,,,,,,
Client 16 - A,10,173.59,184.24,357.83000000000004,45.9,taskA,1004.43,0.3901,0.2878,0.0,251.72,0.3804,0.2801,0.0,179.0,
Client 9 - B,10,305.77,291.55,597.3199999999999,34.65,taskB,,,,,,,,,,
Client 10 - B,10,239.9,357.41,597.3100000000001,45.2,taskB,,,,,,,,,,
Client 11 - B,10,314.7,282.55,597.25,37.85,taskB,,,,,,,,,,
Client 12 - B,10,305.9,291.4,597.3,37.8,taskB,,,,,,,,,,
Client 13 - B,10,294.15,303.14,597.29,39.55,taskB,,,,,,,,,,
Client 14 - B,10,287.86,309.39,597.25,48.35,taskB,,,,,,,,,,
Client 15 - B,10,214.22,383.08,597.3,53.8,taskB,,,,,,,,,,
Client 16 - B,10,263.64,333.64,597.28,45.45,taskB,0.04,0.3948,0.1239,0.1684,0.04,0.3963,0.1239,0.1682,315.0,
