Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 2,14,2.98,0.0,0.00,0.82,3.80,3,19.15,55.75,CNN 16k,Non-IID,CIFAR10,0.9188,0.0,0.0,0.0,2.2214,0.2304,0.1349,2.4684,client_registry|client_selector
Client 3,15,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,15,2.96,0.0,0.00,0.85,3.82,3,26.85,55.70,CNN 16k,IID,CIFAR10,1.4358,0.0,0.0,0.0,2.2493,0.2111,0.1162,2.5027,client_registry|client_selector
Client 2,15,2.95,0.0,0.00,0.86,3.82,3,26.70,55.70,CNN 16k,Non-IID,CIFAR10,0.9080,0.0,0.0,0.0,2.2493,0.2111,0.1162,2.5027,client_registry|client_selector
Client 3,16,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,16,3.03,0.0,0.00,2.34,5.37,3,35.00,55.70,CNN 16k,IID,CIFAR10,1.4369,0.0,0.0,0.0,2.2592,0.2175,0.1342,2.4116,client_registry|client_selector
Client 2,16,2.87,0.0,0.00,2.49,5.37,3,24.90,55.45,CNN 16k,Non-IID,CIFAR10,0.9009,0.0,0.0,0.0,2.2592,0.2175,0.1342,2.4116,client_registry|client_selector
Client 3,17,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,17,2.99,0.0,0.00,0.84,3.83,3,20.30,55.75,CNN 16k,IID,CIFAR10,1.4411,0.0,0.0,0.0,2.2220,0.2207,0.1339,2.4594,client_registry|client_selector
Client 2,17,3.01,0.0,0.00,0.82,3.83,3,21.85,55.75,CNN 16k,Non-IID,CIFAR10,0.8964,0.0,0.0,0.0,2.2220,0.2207,0.1339,2.4594,client_registry|client_selector
Client 3,18,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,18,3.05,0.0,0.00,0.84,3.90,3,28.45,55.80,CNN 16k,IID,CIFAR10,1.4268,0.0,0.0,0.0,2.2141,0.1964,0.1096,2.5116,client_registry|client_selector
Client 2,18,3.09,0.0,0.00,0.81,3.90,3,22.85,55.80,CNN 16k,Non-IID,CIFAR10,0.8925,0.0,0.0,0.0,2.2141,0.1964,0.1096,2.5116,client_registry|client_selector
Client 3,19,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,19,2.98,0.0,0.00,0.79,3.77,3,25.90,55.75,CNN 16k,IID,CIFAR10,1.4212,0.0,0.0,0.0,2.2195,0.2146,0.1283,2.4266,client_registry|client_selector
Client 2,19,2.96,0.0,0.00,0.82,3.77,3,26.20,55.75,CNN 16k,Non-IID,CIFAR10,0.8991,0.0,0.0,0.0,2.2195,0.2146,0.1283,2.4266,client_registry|client_selector
Client 3,20,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,20,2.95,0.0,0.00,2.77,5.72,3,26.70,55.70,CNN 16k,IID,CIFAR10,1.4386,0.0,0.0,0.0,2.2343,0.1891,0.1133,2.4438,client_registry|client_selector
Client 2,20,2.96,0.0,0.00,2.76,5.72,3,21.55,55.70,CNN 16k,Non-IID,CIFAR10,0.8970,0.0,0.0,0.0,2.2343,0.1891,0.1133,2.4438,client_registry|client_selector
